Client_Information,Product_Information,Total_Transaction_Amount
CL432100020001,SGXFUNK20100910,1.0
CL432100020001,SGXFUNK20100910,1.0
CL432100020001,SGXFUNK20100910,1.0
CL432100020001,SGXFUNK20100910,1.0
CL432100030001,CMEFUN120100910,-3.0
CL432100020001,SGXFUNK20100910,1.0
CL432100020001,SGXFUNK20100910,1.0
CL432100020001,SGXFUNK20100910,1.0
CL432100020001,SGXFUNK20100910,1.0
CL432100030001,CMEFUN120100910,-3.0
CL432100020001,SGXFUNK20100910,1.0
CL432100020001,SGXFUNK20100910,1.0
CL432100030001,CMEFUN120100910,-3.0
CL432100030001,CMEFUN120100910,-3.0
CL432100030001,CMEFUN120100910,-3.0
CL432100020001,SGXFUNK20100910,1.0
CL432100020001,SGXFUNK20100910,1.0
CL432100030001,CMEFUN120100910,-3.0
CL432100030001,CMEFUN120100910,-3.0
CL432100030001,CMEFUN120100910,-3.0
CL123400020001,SGXFUNK20100910,1.0
CL123400020001,SGXFUNK20100910,1.0
CL123400020001,SGXFUNK20100910,1.0
CL123400020001,SGXFUNK20100910,1.0
CL123400020001,SGXFUNK20100910,1.0
CL123400020001,SGXFUNK20100910,1.0
CL123400020001,SGXFUNK20100910,1.0
CL123400020001,SGXFUNK20100910,1.0
CL123400020001,SGXFUNK20100910,1.0
CL123400020001,SGXFUNK20100910,1.0
CL123400020001,SGXFUNK20100910,1.0
CL123400020001,SGXFUNK20100910,1.0
CL123400020001,SGXFUNK20100910,1.0
CL123400020001,SGXFUNK20100910,1.0
CL123400020001,SGXFUNK20100910,1.0
CL123400020001,SGXFUNK20100910,1.0
CL123400020001,SGXFUNK20100910,1.0
CL123400020001,SGXFUNK20100910,1.0
CL123400020001,SGXFUNK20100910,1.0
CL123400020001,SGXFUNK20100910,1.0
CL123400020001,SGXFUNK20100910,1.0
CL123400020001,SGXFUNK20100910,1.0
CL123400020001,SGXFUNK20100910,1.0
CL123400020001,SGXFUNK20100910,1.0
CL123400020001,SGXFUNK20100910,1.0
CL123400020001,SGXFUNK20100910,1.0
CL123400020001,SGXFUNK20100910,1.0
CL123400020001,SGXFUNK20100910,2.0
CL123400020001,SGXFUNK20100910,2.0
CL123400020001,SGXFUNK20100910,2.0
CL123400020001,SGXFUNK20100910,1.0
CL123400020001,SGXFUNK20100910,1.0
CL123400020001,SGXFUNK20100910,1.0
CL123400020001,SGXFUNK20100910,2.0
CL123400020001,SGXFUNK20100910,2.0
CL123400020001,SGXFUNK20100910,2.0
CL123400020001,SGXFUNK20100910,3.0
CL123400020001,SGXFUNK20100910,4.0
CL123400020001,SGXFUNK20100910,4.0
CL123400020001,SGXFUNK20100910,4.0
CL123400020001,SGXFUNK20100910,2.0
CL123400020001,SGXFUNK20100910,3.0
CL123400020001,SGXFUNK20100910,3.0
CL123400020001,SGXFUNK20100910,4.0
CL123400020001,SGXFUNK20100910,4.0
CL123400020001,SGXFUNK20100910,4.0
CL123400020001,SGXFUNK20100910,4.0
CL123400020001,SGXFUNK20100910,4.0
CL123400020001,SGXFUNK20100910,4.0
CL123400020001,SGXFUNK20100910,5.0
CL123400020001,SGXFUNK20100910,4.0
CL123400020001,SGXFUNK20100910,4.0
CL123400020001,SGXFUNK20100910,5.0
CL123400020001,SGXFUNK20100910,5.0
CL123400020001,SGXFUNK20100910,5.0
CL123400020001,SGXFUNK20100910,5.0
CL123400020001,SGXFUNK20100910,5.0
CL123400020001,SGXFUNK20100910,5.0
CL123400020001,SGXFUNK20100910,5.0
CL123400020001,SGXFUNK20100910,5.0
CL123400020001,SGXFUNK20100910,5.0
CL123400020001,SGXFUNK20100910,5.0
CL123400020001,SGXFUNK20100910,5.0
CL123400020001,SGXFUNK20100910,5.0
CL123400020001,SGXFUNK20100910,5.0
CL123400020001,SGXFUNK20100910,5.0
CL123400020001,SGXFUNK20100910,5.0
CL123400020001,SGXFUNK20100910,5.0
CL123400020001,SGXFUNK20100910,5.0
CL123400020001,SGXFUNK20100910,5.0
CL123400020001,SGXFUNK20100910,5.0
CL123400020001,SGXFUNK20100910,5.0
CL123400020001,SGXFUNK20100910,5.0
CL123400020001,SGXFUNK20100910,6.0
CL123400020001,SGXFUNK20100910,-1.0
CL123400020001,SGXFUNK20100910,5.0
CL123400020001,SGXFUNK20100910,5.0
CL123400020001,SGXFUNK20100910,-1.0
CL123400020001,SGXFUNK20100910,-1.0
CL123400020001,SGXFUNK20100910,-1.0
CL123400020001,SGXFUNK20100910,5.0
CL123400020001,SGXFUNK20100910,-1.0
CL123400020001,SGXFUNK20100910,-1.0
CL123400020001,SGXFUNK20100910,-1.0
CL123400020001,SGXFUNK20100910,-1.0
CL123400020001,SGXFUNK20100910,-1.0
CL123400020001,SGXFUNK20100910,-1.0
CL123400020001,SGXFUNK20100910,-1.0
CL123400020001,SGXFUNK20100910,-1.0
CL123400020001,SGXFUNK20100910,-1.0
CL123400020001,SGXFUNK20100910,-1.0
CL123400020001,SGXFUNK20100910,-1.0
CL123400020001,SGXFUNK20100910,-1.0
CL123400020001,SGXFUNK20100910,-1.0
CL123400020001,SGXFUNK20100910,-1.0
CL123400020001,SGXFUNK20100910,-1.0
CL123400020001,SGXFUNK20100910,-1.0
CL123400020001,SGXFUNK20100910,-1.0
CL123400020001,SGXFUNK20100910,-1.0
CL123400020001,SGXFUNK20100910,-1.0
CL123400020001,SGXFUNK20100910,-1.0
CL123400020001,SGXFUNK20100910,-1.0
CL123400020001,SGXFUNK20100910,-1.0
CL123400020001,SGXFUNK20100910,-1.0
CL123400020001,SGXFUNK20100910,-1.0
CL123400020001,SGXFUNK20100910,-1.0
CL123400020001,SGXFUNK20100910,-1.0
CL123400020001,SGXFUNK20100910,-2.0
CL123400020001,SGXFUNK20100910,-2.0
CL123400020001,SGXFUNK20100910,-2.0
CL123400020001,SGXFUNK20100910,-2.0
CL123400020001,SGXFUNK20100910,-2.0
CL123400020001,SGXFUNK20100910,-2.0
CL123400020001,SGXFUNK20100910,-2.0
CL123400020001,SGXFUNK20100910,-2.0
CL123400020001,SGXFUNK20100910,-2.0
CL123400020001,SGXFUNK20100910,-2.0
CL123400020001,SGXFUNK20100910,-2.0
CL123400020001,SGXFUNK20100910,-3.0
CL123400020001,SGXFUNK20100910,-3.0
CL123400020001,SGXFUNK20100910,-3.0
CL123400020001,SGXFUNK20100910,-3.0
CL123400020001,SGXFUNK20100910,-3.0
CL123400020001,SGXFUNK20100910,-3.0
CL123400020001,SGXFUNK20100910,-4.0
CL123400020001,SGXFUNK20100910,-4.0
CL123400020001,SGXFUNK20100910,-4.0
CL123400020001,SGXFUNK20100910,-4.0
CL123400020001,SGXFUNK20100910,-4.0
CL123400020001,SGXFUNK20100910,-4.0
CL123400020001,SGXFUNK20100910,-4.0
CL123400020001,SGXFUNK20100910,-4.0
CL123400020001,SGXFUNK20100910,-4.0
CL123400020001,SGXFUNK20100910,-4.0
CL123400020001,SGXFUNK20100910,-4.0
CL123400020001,SGXFUNK20100910,-4.0
CL123400020001,SGXFUNK20100910,-4.0
CL123400020001,SGXFUNK20100910,-5.0
CL123400020001,SGXFUNK20100910,-5.0
CL123400020001,SGXFUNK20100910,-5.0
CL123400020001,SGXFUNK20100910,-5.0
CL123400020001,SGXFUNK20100910,-5.0
CL123400020001,SGXFUNK20100910,-5.0
CL123400020001,SGXFUNK20100910,-5.0
CL123400020001,SGXFUNK20100910,-5.0
CL123400020001,SGXFUNK20100910,-6.0
CL123400020001,SGXFUNK20100910,-7.0
CL123400020001,SGXFUNK20100910,-8.0
CL123400020001,SGXFUNK20100910,-8.0
CL123400020001,SGXFUNK20100910,-10.0
CL123400020001,SGXFUNK20100910,-9.0
CL123400020001,SGXFUNK20100910,-10.0
CL123400020001,SGXFUNK20100910,-10.0
CL123400020001,SGXFUNK20100910,-10.0
CL123400020001,SGXFUNK20100910,-10.0
CL123400030001,CMEFUNK.20100910,1.0
CL123400030001,CMEFUNK.20100910,1.0
CL123400030001,CMEFUNK.20100910,1.0
CL123400030001,CMEFUNK.20100910,1.0
CL123400030001,CMEFUNK.20100910,1.0
CL123400030001,CMEFUNK.20100910,1.0
CL123400030001,CMEFUNK.20100910,1.0
CL123400030001,CMEFUNK.20100910,1.0
CL123400030001,CMEFUNK.20100910,1.0
CL123400030001,CMEFUNK.20100910,1.0
CL123400030001,CMEFUNK.20100910,1.0
CL123400030001,CMEFUNK.20100910,1.0
CL123400030001,CMEFUNK.20100910,1.0
CL123400030001,CMEFUNK.20100910,1.0
CL123400030001,CMEFUNK.20100910,1.0
CL123400020001,SGXFUNK20100910,-5.0
CL123400020001,SGXFUNK20100910,-5.0
CL123400020001,SGXFUNK20100910,-6.0
CL123400020001,SGXFUNK20100910,-7.0
CL123400020001,SGXFUNK20100910,-7.0
CL123400030001,CMEFUNK.20100910,1.0
CL123400030001,CMEFUNK.20100910,1.0
CL123400030001,CMEFUNK.20100910,1.0
CL123400030001,CMEFUNK.20100910,1.0
CL123400030001,CMEFUNK.20100910,1.0
CL123400030001,CMEFUNK.20100910,1.0
CL123400030001,CMEFUNK.20100910,1.0
CL123400030001,CMEFUNK.20100910,1.0
CL123400030001,CMEFUNK.20100910,1.0
CL123400030001,CMEFUNK.20100910,1.0
CL123400030001,CMEFUNK.20100910,1.0
CL123400030001,CMEFUNK.20100910,1.0
CL123400030001,CMEFUNK.20100910,1.0
CL123400030001,CMEFUNK.20100910,1.0
CL123400030001,CMEFUNK.20100910,1.0
CL123400030001,CMEFUNK.20100910,1.0
CL123400030001,CMEFUNK.20100910,1.0
CL123400030001,CMEFUNK.20100910,1.0
CL123400030001,CMEFUNK.20100910,1.0
CL123400030001,CMEFUNK.20100910,2.0
CL123400030001,CMEFUNK.20100910,1.0
CL123400030001,CMEFUNK.20100910,2.0
CL123400030001,CMEFUNK.20100910,2.0
CL123400030001,CMEFUNK.20100910,2.0
CL123400030001,CMEFUNK.20100910,2.0
CL123400030001,CMEFUNK.20100910,1.0
CL123400030001,CMEFUNK.20100910,1.0
CL123400030001,CMEFUNK.20100910,1.0
CL123400030001,CMEFUNK.20100910,1.0
CL123400030001,CMEFUNK.20100910,1.0
CL123400030001,CMEFUNK.20100910,2.0
CL123400030001,CMEFUNK.20100910,2.0
CL123400030001,CMEFUNK.20100910,2.0
CL123400030001,CMEFUNK.20100910,2.0
CL123400030001,CMEFUNK.20100910,2.0
CL123400030001,CMEFUNK.20100910,2.0
CL123400030001,CMEFUNK.20100910,2.0
CL123400030001,CMEFUNK.20100910,2.0
CL123400030001,CMEFUNK.20100910,2.0
CL123400030001,CMEFUNK.20100910,3.0
CL123400030001,CMEFUNK.20100910,3.0
CL123400030001,CMEFUNK.20100910,3.0
CL123400030001,CMEFUNK.20100910,3.0
CL123400030001,CMEFUNK.20100910,3.0
CL123400030001,CMEFUNK.20100910,3.0
CL123400030001,CMEFUNK.20100910,3.0
CL123400030001,CMEFUNK.20100910,3.0
CL123400030001,CMEFUNK.20100910,3.0
CL123400030001,CMEFUNK.20100910,3.0
CL123400030001,CMEFUNK.20100910,3.0
CL123400030001,CMEFUNK.20100910,3.0
CL123400030001,CMEFUNK.20100910,4.0
CL123400030001,CMEFUNK.20100910,4.0
CL123400030001,CMEFUNK.20100910,4.0
CL123400030001,CMEFUNK.20100910,4.0
CL123400030001,CMEFUNK.20100910,1.0
CL123400030001,CMEFUNK.20100910,1.0
CL123400030001,CMEFUNK.20100910,2.0
CL123400030001,CMEFUNK.20100910,2.0
CL123400030001,CMEFUNK.20100910,4.0
CL123400030001,CMEFUNK.20100910,4.0
CL123400030001,CMEFUNK.20100910,4.0
CL123400030001,CMEFUNK.20100910,4.0
CL123400030001,CMEFUNK.20100910,5.0
CL123400030001,CMEFUNK.20100910,5.0
CL123400030001,CMEFUNK.20100910,4.0
CL123400030001,CMEFUNK.20100910,5.0
CL123400030001,CMEFUNK.20100910,5.0
CL123400030001,CMEFUNK.20100910,5.0
CL123400030001,CMEFUNK.20100910,5.0
CL123400030001,CMEFUNK.20100910,5.0
CL123400030001,CMEFUNK.20100910,6.0
CL123400030001,CMEFUNK.20100910,8.0
CL123400030001,CMEFUNK.20100910,10.0
CL123400030001,CMEFUNK.20100910,10.0
CL123400030001,CMEFUNK.20100910,6.0
CL123400030001,CMEFUNK.20100910,7.0
CL123400030001,CMEFUNK.20100910,8.0
CL123400030001,CMEFUNK.20100910,10.0
CL123400030001,CMEFUNK.20100910,10.0
CL123400030001,CMEFUNK.20100910,10.0
CL123400030001,CMEFUNK.20100910,12.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,10.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
CL123400030001,CMEFUNK.20100910,-1.0
